,model_key,price
74,i8,95200.0
61,M4,61650.0
71,X6 M,51050.0
69,X5 M50,49533.333333333336
62,M5,41600.0
51,640 Gran Coupé,39063.15789473684
68,X5 M,37788.23529411765
55,740,37772.22222222222
56,750,37200.0
60,M3,36428.57142857143
63,M550,34900.0
70,X6,34461.36363636364
50,640,34375.0
37,435 Gran Coupé,34216.666666666664
66,X4,33895.65217391304
36,435,31025.0
33,425,31000.0
67,X5,30570.12987012987
34,430,29400.0
59,M235,29300.0
35,430 Gran Coupé,27325.0
58,M135,25700.0
27,330 Gran Turismo,25400.0
47,535 Gran Turismo,24950.0
29,335 Gran Turismo,24833.333333333332
32,420 Gran Coupé,24427.272727272728
31,420,23931.81818181818
14,220,23800.0
53,730,23766.666666666668
46,535,23747.82608695652
6,135,22350.0
28,335,21828.571428571428
73,i3,21116.666666666668
57,ActiveHybrid 5,21100.0
45,530 Gran Turismo,20927.777777777777
30,418 Gran Coupé,20737.5
24,325 Gran Turismo,20625.0
43,528,20300.0
40,520 Gran Turismo,20178.260869565216
44,530,19826.114649681527
49,635,19300.0
17,225 Active Tourer,19200.0
16,225,18300.0
65,X3,18175.79908675799
7,214 Gran Tourer,17800.0
22,320 Gran Turismo,17745.205479452055
11,218,17715.384615384617
10,216 Gran Tourer,17300.0
26,330,16672.727272727272
25,328,16500.0
38,518,16489.39393939394
13,218 Gran Tourer,15888.888888888889
39,520,15709.16271721959
12,218 Active Tourer,15400.0
42,525,15363.04347826087
20,318 Gran Turismo,14854.639175257733
23,325,14015.78947368421
9,216 Active Tourer,12700.0
64,X1,12700.0
5,125,12560.0
3,120,12416.666666666666
21,320,12161.702127659575
15,220 Active Tourer,11700.0
0,114,11206.666666666666
19,318,10987.170474516695
48,630,10500.0
18,316,10381.702127659575
1,116,9653.910614525139
2,118,9647.552447552447
72,Z4,9500.0
4,123,8800.0
52,650,8000.0
41,523,6875.0
8,216,4800.0
54,735,4500.0
